,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole,N-Boc,N-H,halide,Step details,RouteScore details,Isolated,RouteScore,log(RouteScore),Total manual steps,Successfully processed?,Route type,Type,Manual steps
0,325.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1cnc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3ccc4c(ccn4-c4cnccn4)c3)cc2-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cc(F)c(-c4cccnc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccnc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3-n3c4ccccc4c4ccccc43)ccc21,c1cnc(-c2ccc3[nH]ccc3c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3ccc4[nH]ccc4c3)cc2-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2055307275396088, 'cost': 1.2055307275396088, 'time': 0.24804259351539967, 'money': 26.903945726666663, 'materials': 0.18064920000000004, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.2101280044865379, 'cost': 0.2101280044865379, 'time': 0.24804259351539967, 'money': 13.048796699999999, 'materials': 0.06492130000000003, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 383.4533224310386, 'cost': 383.4533224310386, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05537550000000001, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 210.25356419147988, 'cost': 210.25356419147988, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.030373999999999995, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 215.07145563457033, 'cost': 215.07145563457033, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03610848333333334, 'yield': 1, '# man steps': 1}]","{'RouteScore': 48611640.0593469, 'Cost factor': 48611640.0593469, 'sum Stepscores': 810.194000989115, 'n_Target': 1.6666666666666667e-05}",0.01581823333333333,48611640.0593469,7.686740273547469,3.0,True,S-B,Automated,After
2,362.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc(Br)nc1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2ccc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)nc3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)nc3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.21356404151459185, 'cost': 0.21356404151459185, 'time': 0.24804259351539967, 'money': 13.037850066666666, 'materials': 0.06603830000000005, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 383.33929731085556, 'cost': 383.33929731085556, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05535903333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 210.13957935718022, 'cost': 210.13957935718022, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.030357533333333336, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 214.9733759136151, 'cost': 214.9733759136151, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.036092016666666664, 'yield': 1, '# man steps': 1}]","{'RouteScore': 48593405.44788538, 'Cost factor': 48593405.44788538, 'sum Stepscores': 809.8900907980897, 'n_Target': 1.6666666666666667e-05}",0.015801766666666665,48593405.44788538,7.68657733568372,3.0,True,S-B,Automated,After
3,363.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(F)c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(-n4c5ccccc5c5ccccc54)c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.21563096935674247, 'cost': 0.21563096935674247, 'time': 0.24804259351539967, 'money': 13.048796699999999, 'materials': 0.06662150000000003, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 690.6078572466733, 'cost': 690.6078572466733, 'time': 20.099532983070638, 'money': 344.7261776, 'materials': 0.09967156666666667, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 248.14244614665023, 'cost': 248.14244614665023, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03584756666666666, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 247.67343283880612, 'cost': 247.67343283880612, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.041582049999999995, 'yield': 1, '# man steps': 1}]","{'RouteScore': 71271818.48258464, 'Cost factor': 71271818.48258464, 'sum Stepscores': 1187.8636413764107, 'n_Target': 1.6666666666666667e-05}",0.021291799999999996,71271818.48258464,7.852917839853172,3.0,True,S-B,Automated,After
4,364.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4ccccc4c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)c4ccccc4c3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2cc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.26279245046489685, 'cost': 0.26279245046489685, 'time': 0.24804259351539967, 'money': 15.84693035, 'materials': 0.0668561666666667, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 389.0026988266691, 'cost': 389.0026988266691, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05617690000000001, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 215.80097995308697, 'cost': 215.80097995308697, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.0311754, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 219.8448010823541, 'cost': 219.8448010823541, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03690988333333333, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49568132.78924996, 'Cost factor': 49568132.78924996, 'sum Stepscores': 826.1355464874994, 'n_Target': 1.6666666666666667e-05}",0.01661963333333333,49568132.78924996,7.695202559522488,3.0,True,S-B,Automated,After
5,365.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)sc1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(Cl)c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)s3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(Cl)c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)s3)ccc21,Clc1cc(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)sc1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.2756841176108172, 'cost': 0.2756841176108172, 'time': 0.24804259351539967, 'money': 16.664147076666666, 'materials': 0.06669640000000004, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 387.8963781767956, 'cost': 387.8963781767956, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05601713333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 214.69505017414252, 'cost': 214.69505017414252, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.031015633333333337, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 218.8931895387543, 'cost': 218.8931895387543, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03675011666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49379074.57093365, 'Cost factor': 49379074.57093365, 'sum Stepscores': 822.9845761822276, 'n_Target': 1.6666666666666667e-05}",0.016459866666666663,49379074.57093365,7.693542946420072,3.0,True,S-B,Automated,After
6,366.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,Cc1nc2c(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)c2nc1C,Cc1nc2c(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c3nsnc3c(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c2nc1C,c1ccc2c(c1)[nH]c1ccccc12,Cc1nc2c(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)c2nc1C,Cc1nc2c(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)c2nc1C,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.37704397981842946, 'cost': 0.37704397981842946, 'time': 0.24804259351539967, 'money': 22.247940518333333, 'materials': 0.0683244166666667, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 399.1697463595919, 'cost': 399.1697463595919, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05764515, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 225.96443539603618, 'cost': 225.96443539603618, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.032643649999999996, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 228.59007741590614, 'cost': 228.59007741590614, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03837813333333333, 'yield': 1, '# man steps': 1}]","{'RouteScore': 51319534.639576614, 'Cost factor': 51319534.639576614, 'sum Stepscores': 855.325577326277, 'n_Target': 1.6666666666666667e-05}",0.018087883333333325,51319534.639576614,7.710282709581684,3.0,True,S-B,Automated,After
7,367.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,c1ccc(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)c(Oc2ccccc2-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccccc3Oc3ccccc3-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccccc3Oc3ccccc3-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)ccc21,c1ccc(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)c(Oc2ccccc2-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.22988176865096793, 'cost': 0.22988176865096793, 'time': 0.24804259351539967, 'money': 13.718584523333332, 'materials': 0.06755678333333337, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 393.8541907063612, 'cost': 393.8541907063612, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05687751666666667, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 220.6507577663029, 'cost': 220.6507577663029, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.031876016666666666, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 224.0178549586641, 'cost': 224.0178549586641, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.0376105, 'yield': 1, '# man steps': 1}]","{'RouteScore': 50398617.5624942, 'Cost factor': 50398617.5624942, 'sum Stepscores': 839.9769593749035, 'n_Target': 1.6666666666666667e-05}",0.017320249999999995,50398617.5624942,7.702418623881744,3.0,True,S-B,Automated,After
8,368.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,CC(C)(C)c1ccc2c(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3c4ccccc4c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4cc(C(C)(C)C)ccc34)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3c4ccccc4c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)c4cc(C(C)(C)C)ccc34)ccc21,CC(C)(C)c1ccc2c(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)c2c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.371823112816834, 'cost': 0.371823112816834, 'time': 0.24804259351539967, 'money': 21.843576766666665, 'materials': 0.06862563333333338, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 401.25555202464125, 'cost': 401.25555202464125, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05794636666666667, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 228.04950413115643, 'cost': 228.04950413115643, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.032944866666666656, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 230.3842017041891, 'cost': 230.3842017041891, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03867935, 'yield': 1, '# man steps': 1}]","{'RouteScore': 51677121.30886367, 'Cost factor': 51677121.30886367, 'sum Stepscores': 861.2853551477278, 'n_Target': 1.6666666666666667e-05}",0.0183891,51677121.30886367,7.713298313143058,3.0,True,S-B,Automated,After
9,369.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)c(F)cc1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(F)c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3cc(F)c(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)cc3F)ccc21,Fc1cc(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)c(F)cc1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.21563096935674247, 'cost': 0.21563096935674247, 'time': 0.24804259351539967, 'money': 13.048796699999999, 'materials': 0.06662150000000003, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 387.3777254540196, 'cost': 387.3777254540196, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05594223333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 214.17658069505046, 'cost': 214.17658069505046, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.030940733333333335, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 218.44706578776976, 'cost': 218.44706578776976, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03667521666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 49286476.62486725, 'Cost factor': 49286476.62486725, 'sum Stepscores': 821.4412770811209, 'n_Target': 1.6666666666666667e-05}",0.016384966666666664,49286476.62486725,7.6927277725659415,3.0,True,S-B,Automated,After
11,371.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc(Br)o1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2ccc(-c3c(-c4ccc5c(ccn5-c5cnccn5)c4)cccc3-n3c4ccccc4c4ccccc43)o2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)o3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc(-c4c(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cccc4-n4c5ccccc5c5ccccc54)o3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)o2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 0.22891210258699338, 'cost': 0.22891210258699338, 'time': 0.24804259351539967, 'money': 14.013832559999999, 'materials': 0.06585451666666671, 'yield': 1, '# man steps': 0}, {'reaction': 'SNAr', 'StepScore': 382.066670792375, 'cost': 382.066670792375, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05517525000000001, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 208.86740246667108, 'cost': 208.86740246667108, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03017375, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 213.8787148984601, 'cost': 213.8787148984601, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03590823333333333, 'yield': 1, '# man steps': 1}]","{'RouteScore': 48375958.46610105, 'Cost factor': 48375958.46610105, 'sum Stepscores': 806.2659744350175, 'n_Target': 1.6666666666666667e-05}",0.015617983333333333,48375958.46610105,7.684629582728056,3.0,True,S-B,Automated,After
